City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Leningradskiy,RU,69.3833,178.4167,0.63,83,3,6.82,clear sky
138,Arona,ES,28.0996,-16.681,64.99,77,20,5.75,few clouds
139,Seydi,TM,39.4816,62.9137,56.41,36,10,16.58,clear sky
140,Katsuura,JP,35.1333,140.3,68.0,48,75,4.61,broken clouds
141,Saskylakh,RU,71.9167,114.0833,23.67,84,90,8.08,overcast clouds
142,Sisimiut,GL,66.9395,-53.6735,29.23,68,100,10.25,overcast clouds
143,San Lazaro,BZ,18.0387,-88.6622,81.0,92,0,1.99,clear sky
144,Sistranda,NO,63.7256,8.834,33.8,75,0,6.91,clear sky
145,Ketchikan,US,55.3422,-131.6461,35.6,80,20,3.02,few clouds
146,Portland,US,45.5234,-122.6762,50.0,40,5,1.99,clear sky
147,San Francisco,US,37.7749,-122.4194,52.0,71,40,12.66,scattered clouds
148,Batemans Bay,AU,-35.7167,150.1833,66.0,51,8,5.01,clear sky
149,Berlevag,NO,70.8578,29.0864,33.1,72,96,28.97,light snow
150,Abha,SA,18.2164,42.5053,64.4,34,0,3.38,clear sky
151,Xuddur,SO,4.1213,43.8894,73.54,75,92,14.99,overcast clouds
152,Muros,ES,42.7762,-9.0603,46.99,69,66,5.01,broken clouds
153,Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,45,0,26.46,clear sky
154,Longyearbyen,SJ,78.2186,15.6401,17.6,67,20,16.11,few clouds
155,Fairfield,US,41.2668,-73.3162,48.2,76,90,9.22,light rain
156,Dalby,AU,-27.1833,151.2667,69.8,35,0,4.61,clear sky
157,Jasper,US,37.2001,-94.3502,62.6,42,1,5.75,clear sky
158,Tilichiki,RU,60.4667,166.1,11.28,73,20,16.35,few clouds
159,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,65,20,12.66,few clouds
160,Yar-Sale,RU,66.8333,70.8333,30.69,86,43,19.93,scattered clouds
161,Coihaique,CL,-45.5752,-72.0662,55.4,88,71,6.91,moderate rain
162,Mercedes,AR,-34.6515,-59.4307,55.0,86,0,1.99,clear sky
163,Kummersbruck,DE,49.4192,11.8883,41.0,19,90,6.91,light rain
164,Pevek,RU,69.7008,170.3133,-6.81,90,73,4.52,broken clouds
165,Port Alfred,ZA,-33.5906,26.891,66.54,89,100,3.87,overcast clouds
166,Ambon,ID,-3.6954,128.1814,86.0,70,40,8.05,scattered clouds
167,Atar,MR,20.5169,-13.0499,73.67,20,4,10.38,clear sky
168,Sibolga,ID,1.7427,98.7792,79.79,86,99,4.81,overcast clouds
169,Gobabis,NA,-22.45,18.9667,61.45,56,0,8.39,clear sky
170,Hithadhoo,MV,-0.6,73.0833,83.41,67,97,8.9,overcast clouds
171,Nouadhibou,MR,20.931,-17.0347,66.2,72,0,18.41,clear sky
172,Ravar,IR,31.2656,56.8055,72.41,28,100,3.04,overcast clouds
173,Horsens,DK,55.8607,9.8503,34.0,90,89,11.72,overcast clouds
174,Tougue,GN,11.4667,-11.6,74.3,48,44,4.65,scattered clouds
175,Nemuro,JP,43.3236,145.575,64.4,20,0,13.8,clear sky
176,Khatanga,RU,71.9667,102.5,25.79,80,99,7.31,overcast clouds
177,Charters Towers,AU,-20.1,146.2667,86.74,30,0,8.61,clear sky
178,Ranong,TH,9.9658,98.6348,89.6,66,75,4.61,broken clouds
179,Alofi,NU,-19.0595,-169.9187,78.8,83,63,4.61,broken clouds
180,Porto-Vecchio,FR,41.591,9.2795,57.2,94,90,6.91,overcast clouds
181,Luganville,VU,-15.5333,167.1667,82.58,74,79,2.01,light rain
