City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
379,Bilma,NE,78.84,clear sky,18.6853,12.9164,Expeditions Ténére voyages
383,Bac Lieu,VN,86.67,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
385,Namibe,AO,79.29,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
387,Saint-Pierre,RE,81.0,light rain,-21.3393,55.4781,Lindsey Hôtel
389,Lang Suan,TH,89.6,broken clouds,9.9456,99.0785,Langsuan Resort
398,Ambunti,PG,85.75,overcast clouds,-4.2365,142.8448,Ambunti Lodge
402,Sri Aman,MY,86.0,moderate rain,1.2376,111.4621,Seri Simanggang Hotel
404,Mubi,NG,78.33,overcast clouds,10.2676,13.2644,Hotel
405,Port Moresby,PG,87.8,haze,-9.4431,147.1797,Lamana Hotel
406,Kralendijk,BQ,78.8,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
408,Tirumullaivasal,IN,86.72,broken clouds,11.2333,79.8333,Hajaali
414,Alice Springs,AU,80.01,few clouds,-23.7,133.8833,Desert Palms Alice Springs
415,Longyan,CN,89.01,clear sky,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
416,Sur,OM,85.48,clear sky,22.5667,59.5289,Sur Plaza Hotel
419,Axim,GH,79.72,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
422,Kadhan,PK,89.15,clear sky,24.480999999999998,68.9859,ڳوٺ چوڌري جلال الدين جٽ
427,Tiarei,PF,82.4,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
429,Poum,NC,78.62,overcast clouds,-20.2333,164.0167,Gîte kajeon
437,Meulaboh,ID,82.54,broken clouds,4.1363,96.1285,Kost Pria
442,Gusau,NG,80.24,scattered clouds,12.1628,6.6614,GUEST INN
444,Sinnamary,GF,76.75,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
445,Saint-Joseph,RE,81.0,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
448,Soyo,AO,76.96,light rain,-6.1349,12.3689,Hotel Mpampa
450,Raichur,IN,88.81,clear sky,16.2,77.3667,Hotel CM Residency
456,Beira,MZ,77.0,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
458,Tambo Grande,PE,77.16,light rain,-4.9269,-80.3447,Hostal Nuevo Primavera
