City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Madingou,CG,2021-04-06 21:16:40,-4.1536,13.55,73.78,92,100,0.11
118,Belaya Gora,RU,2021-04-06 21:16:40,68.5333,146.4167,-11.87,97,100,1.5
119,Sao Filipe,CV,2021-04-06 21:16:40,14.8961,-24.4956,76.66,61,0,7.4
120,Hithadhoo,MV,2021-04-06 21:11:48,-0.6,73.0833,83.32,61,97,10.42
121,Henties Bay,NA,2021-04-06 21:16:41,-22.116,14.2845,64.49,79,0,10.04
122,Bad Freienwalde,DE,2021-04-06 21:16:41,52.7873,14.0304,35.01,74,84,11.36
123,Svetlogorsk,BY,2021-04-06 21:16:41,52.6333,29.7333,34.59,93,100,1.19
124,Mar Del Plata,AR,2021-04-06 21:15:14,-38.0023,-57.5575,71.6,88,40,14.97
125,Mehamn,NO,2021-04-06 21:16:42,71.0357,27.8492,33.8,69,75,20.71
126,Payo,ID,2021-04-06 21:16:42,-3.7508,103.6372,71.13,85,95,1.92
127,Ubatuba,BR,2021-04-06 21:16:06,-23.4339,-45.0711,75.2,73,75,3.44
128,Sechura,PE,2021-04-06 21:16:43,-5.5569,-80.8222,82.13,58,100,11.27
129,Port Hedland,AU,2021-04-06 21:16:43,-20.3167,118.5667,71.6,68,7,8.05
130,Fort Frances,CA,2021-04-06 21:13:54,48.5999,-93.4003,57.99,28,1,9.22
131,Matara,LK,2021-04-06 21:16:44,5.9485,80.5353,75.78,89,23,5.88
132,Haysville,US,2021-04-06 21:16:44,37.5645,-97.3523,73.0,64,90,31.07
133,Tual,ID,2021-04-06 21:16:45,-5.6667,132.75,83.71,71,98,5.26
134,Turukhansk,RU,2021-04-06 21:16:45,65.8167,87.9833,32.86,98,100,10.98
135,Voyvozh,RU,2021-04-06 21:16:45,62.892,54.9635,34.23,80,100,8.72
136,Mwinilunga,ZM,2021-04-06 21:16:46,-11.7358,24.4293,66.36,72,100,4.83
137,Pachperwa,IN,2021-04-06 21:16:46,27.5167,82.65,76.1,15,5,4.38
138,Avarua,CK,2021-04-06 21:16:46,-21.2078,-159.775,82.4,69,75,13.8
139,Mahibadhoo,MV,2021-04-06 21:16:47,3.7833,72.9667,83.12,62,100,4.21
140,Port Macquarie,AU,2021-04-06 21:16:47,-31.4333,152.9167,66.2,100,63,5.75
141,Kichera,RU,2021-04-06 21:16:47,55.9375,110.0997,20.07,90,63,2.91
142,Tazovskiy,RU,2021-04-06 21:16:48,67.4667,78.7,28.99,94,100,13.8
143,Saint George,US,2021-04-06 21:16:48,37.1041,-113.5841,73.0,8,1,3.44
144,Kovdor,RU,2021-04-06 21:16:48,67.5662,30.4758,26.2,91,76,7.38
145,Ribeira Grande,PT,2021-04-06 21:16:49,38.5167,-28.7,62.6,77,20,4.61
146,Shieli,KZ,2021-04-06 21:16:49,44.1667,66.75,54.25,53,1,7.14
147,La Palma,US,2021-04-06 21:16:49,33.8464,-118.0467,71.6,60,75,10.36
148,Sainthia,IN,2021-04-06 21:16:50,23.95,87.6667,77.0,64,0,11.16
149,Saint-Augustin,CA,2021-04-06 21:16:50,51.226,-58.6502,39.78,99,100,15.66
150,Rawson,AR,2021-04-06 21:16:50,-43.3002,-65.1023,66.74,86,100,10.25
151,Irbit,RU,2021-04-06 21:16:50,57.6705,63.071,28.35,94,29,3.8
152,Chumikan,RU,2021-04-06 21:16:51,54.7183,135.315,20.55,94,100,10.96
153,Kavaratti,IN,2021-04-06 21:16:51,10.5669,72.642,82.89,76,32,9.17
154,Salinopolis,BR,2021-04-06 21:16:51,-0.6136,-47.3561,80.8,82,79,9.89
155,Gotsu,JP,2021-04-06 21:16:52,35.0,132.2167,47.05,70,28,5.88
156,Camacha,PT,2021-04-06 21:16:52,33.0833,-16.3333,62.6,77,20,9.22
157,Havre-Saint-Pierre,CA,2021-04-06 21:16:52,50.2334,-63.5986,50.0,71,90,19.57
158,Broome,US,2021-04-06 21:16:53,42.2506,-75.833,59.0,10,1,13.8
159,Upernavik,GL,2021-04-06 21:16:53,72.7868,-56.1549,8.38,92,100,16.6
160,Bud,US,2021-04-06 21:16:53,39.447,-86.1758,78.01,41,40,12.66
161,Narsaq,GL,2021-04-06 21:16:54,60.9167,-46.05,35.6,87,75,2.3
162,Borogontsy,RU,2021-04-06 21:16:54,62.6683,131.1683,-21.53,100,90,1.63
163,Provideniya,RU,2021-04-06 21:16:54,64.3833,-173.3,5.0,66,0,6.71
164,La Libertad,EC,2021-04-06 21:16:55,-2.2333,-80.9,80.6,74,0,13.8
165,Reconquista,AR,2021-04-06 21:16:55,-29.15,-59.65,74.8,74,78,9.51
166,Namibe,AO,2021-04-06 21:16:55,-15.1961,12.1522,77.74,79,96,2.15
167,Bunia,CD,2021-04-06 21:16:56,1.5667,30.25,65.86,87,100,1.07
168,Chandbali,IN,2021-04-06 21:16:56,20.7833,86.7667,76.14,87,0,7.36
169,Faranah,GN,2021-04-06 21:16:56,10.0404,-10.7434,82.85,53,100,7.81
170,Ushumun,RU,2021-04-06 21:16:57,52.7833,126.5333,8.87,72,47,15.3
171,Kruisfontein,ZA,2021-04-06 21:16:57,-34.0033,24.7314,57.99,94,43,5.08
172,Roanoke Rapids,US,2021-04-06 21:16:57,36.4615,-77.6542,81.0,36,1,9.22
173,Quelimane,MZ,2021-04-06 21:16:58,-17.8786,36.8883,77.0,78,40,3.44
174,Passo Fundo,BR,2021-04-06 21:14:33,-28.2628,-52.4067,70.21,62,5,5.5
175,Mahebourg,MU,2021-04-06 21:16:58,-20.4081,57.7,77.0,94,40,6.91
176,Tanout,NE,2021-04-06 21:16:58,14.9709,8.8879,85.86,9,94,8.7
177,Katsuura,JP,2021-04-06 21:14:27,35.1333,140.3,50.0,71,40,8.05
178,Khandyga,RU,2021-04-06 21:16:59,62.6667,135.6,-26.16,100,74,1.52
179,Lerwick,GB,2021-04-06 21:16:59,60.1545,-1.1494,35.6,80,90,23.02
180,Bilibino,RU,2021-04-06 21:17:00,68.0546,166.4372,-9.47,97,82,1.83
181,Wajir,KE,2021-04-06 21:17:00,1.7471,40.0573,83.43,59,61,14.29
182,Ponta Delgada,PT,2021-04-06 21:17:00,37.7333,-25.6667,59.0,94,40,4.61
183,Neiafu,TO,2021-04-06 21:17:01,-18.65,-173.9833,80.6,69,20,5.75
184,Bara,NG,2021-04-06 21:17:01,10.3744,10.7288,85.75,14,91,3.49
185,Bambous Virieux,MU,2021-04-06 21:17:01,-20.3428,57.7575,77.0,94,40,6.91
186,Lompoc,US,2021-04-06 21:12:15,34.6391,-120.4579,61.0,67,92,19.57
187,Sibolga,ID,2021-04-06 21:17:02,1.7427,98.7792,75.52,88,54,3.27
188,Paracuru,BR,2021-04-06 21:12:08,-3.41,-39.0306,82.99,71,100,13.0
189,Namatanai,PG,2021-04-06 21:17:02,-3.6667,152.4333,79.79,83,100,4.94
190,Flagstaff,US,2021-04-06 21:14:50,35.1981,-111.6513,64.99,6,1,8.05
191,Vardo,NO,2021-04-06 21:17:03,70.3705,31.1107,33.8,69,75,21.85
192,Plouzane,FR,2021-04-06 21:17:03,48.3833,-4.6167,42.8,56,75,10.36
193,Mtsensk,RU,2021-04-06 21:17:03,53.2766,36.5733,42.94,77,100,9.06
194,Ilulissat,GL,2021-04-06 21:17:04,69.2167,-51.1,19.4,86,75,9.22
195,Beeskow,DE,2021-04-06 21:17:04,52.1667,14.25,33.01,81,98,3.0
196,Tuatapere,NZ,2021-04-06 21:17:04,-46.1333,167.6833,54.0,84,98,4.0
197,Baykit,RU,2021-04-06 21:17:04,61.67,96.37,36.59,98,100,4.56
198,Robertsport,LR,2021-04-06 21:17:05,6.7533,-11.3686,79.21,85,71,3.87
199,Abu Samrah,SY,2021-04-06 21:17:05,35.3029,37.1841,67.93,23,15,10.38
200,Ginir,ET,2021-04-06 21:17:05,7.1333,40.7,59.58,78,27,5.28
201,Portland,US,2021-04-06 21:12:16,45.5234,-122.6762,62.01,38,1,8.05
202,Marovoay,MG,2021-04-06 21:17:06,-16.1,46.6333,78.8,89,20,2.3
203,Hami,CN,2021-04-06 21:17:06,42.8,93.45,56.34,25,41,4.18
204,Khandbari,NP,2021-04-06 21:17:07,27.3747,87.2039,64.58,31,0,5.01
205,Hofn,IS,2021-04-06 21:17:07,64.2539,-15.2082,23.63,53,100,0.4
206,Minab,IR,2021-04-06 21:17:07,27.1467,57.0801,71.6,78,0,6.91
207,Floro,NO,2021-04-06 21:17:08,61.5996,5.0328,39.2,75,40,9.22
208,Jamestown,US,2021-04-06 21:12:31,42.097,-79.2353,72.0,42,75,4.61
209,Noumea,NC,2021-04-06 21:17:08,-22.2763,166.4572,79.0,83,90,8.37
210,Port Elizabeth,ZA,2021-04-06 21:12:24,-33.918,25.5701,57.99,93,36,1.01
211,Vestmannaeyjar,IS,2021-04-06 21:17:08,63.4427,-20.2734,31.23,51,76,4.41
212,Bamiantong,CN,2021-04-06 21:17:09,44.9333,130.5333,28.89,31,67,11.25
213,Tromso,NO,2021-04-06 21:17:09,69.6496,18.957,32.0,93,90,27.63
